,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.4 Expected Annual Damage,A.4 Expected Number of Deaths,Total Infrastructure Costs,Total Expected Annual Damage,Total Expected Number of Deaths
0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,4,0,8,9,3,1,2,5,5,5,1,2,2,10,6,0,2565551.384606382,0.00020774205358328605,797290254.4815581,2565551.384606382,0.00020774205358328605
1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,3,4,0,9,1,5,3,6,0,6,3,5,6,2,5,3,0.0,0.0,782970481.247833,2693954.258329465,0.000377334514848201
2,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,2,0,8,3,5,1,2,5,5,4,9,2,2,10,3,0,0.0,0.0,825703803.9262567,0.0,0.0
3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,1,0,1,0,5,0,7,1,7,9,1,5,2,7,1,0.0,0.0,630003083.089509,11453529.56689888,0.0019794592775826047
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,6,10,1,5,8,0,4,1,9,2,4,6,6,8,4,1572396.9093106387,0.00013085296503137422,703040301.9042059,1572396.9093106387,0.00013085296503137422
1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,3,6,7,9,5,2,1,2,2,5,7,3,6,4,9,0.0,0.0,765728454.7557119,1797247.5612027363,0.0004722429773790004
2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,7,0,1,1,4,6,10,2,2,0,5,0,7,5,5,5586599.294978121,0.0005175279889765214,607424077.2147009,10662556.75415332,0.0014041447206055559
3,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,9,7,1,1,7,9,9,4,5,2,4,8,4,0.0,0.0,904264693.265108,0.0,0.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,10,3,2,5,7,3,1,1,0,7,6,5,5,4,2,0.0,0.0,662473695.2029693,13408759.130018003,0.0035538488430125895
1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,1,1,7,5,0,6,10,1,6,4,6,6,4,1,0.0,0.0,729926979.1500676,0.0,0.0
2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,3,3,10,5,3,1,5,0,4,6,1,5,2,1,0.0,0.0,680918964.1401429,1797247.5612027363,0.0005903037217237506
3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,5,3,2,10,7,0,3,4,0,4,1,5,0,5,1,0.0,0.0,596678353.7457802,44287584.48159621,0.0074150435072148045
0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,4,4,0,2,6,2,4,5,1,3,4,2,0.0,0.0,750521452.6645976,0.0,0.0
1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,10,0,6,0,6,5,5,6,9,4,4,6,5,0.0,0.0,694823000.6518468,11453529.56689888,0.01319639518388403
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,7,3,2,0,0,6,5,3,5,5,5,0,0.0,0.0,479346772.74891424,81914801.56140883,0.02146624169125063
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,4,7,0,4,1,1,3,3,0,4,4,2,0,0.0,0.0,494375075.7888767,26347479.39040076,0.007037474286767709
2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,2,1,2,4,1,4,8,2,1,6,1,1,5,0,4,0.0,0.0,655424539.9866986,0.0,0.0
3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,1,0,7,2,5,1,3,6,4,1,4,5,1,0,0.0,0.0,571326199.2554559,9747010.772863006,0.0025773639253899435
